,resource,response,response_lower,response_upper
0,1,0.01341119686765536,-0.1058755432873566,0.1472075947998709
1,2,0.6511518956279697,0.5890172281750716,0.7111193195116098
2,3,0.7809574862427185,0.7290355808819543,0.8318768708434234
3,4,0.8310141109919037,0.7820071685694027,0.8789827087172585
4,5,0.8595033664189913,0.8118753582495408,0.9055656877091081
5,6,0.8742896419317616,0.8322468112012503,0.916658898173496
6,7,0.8808413674778194,0.8343000495744487,0.9245944580609532
7,9,0.8924465253484625,0.847428524435731,0.936367974071772
8,11,0.8977888688263601,0.851511115747917,0.9439386623562398
9,14,0.9011153460751927,0.854821821589217,0.9465207929391305
10,17,0.906239616611526,0.8644431550443011,0.9483040209179601
11,20,0.911187540155653,0.8708245389020091,0.9519221210680996
12,25,0.9176816581020902,0.8803994015150671,0.9560797686000974
13,31,0.9229506482318985,0.8847622765254278,0.9610316232965967
14,37,0.9283632020505248,0.8908699085119357,0.964058212663061
15,46,0.9348421545011041,0.9002736606118518,0.9701324935881681
16,56,0.9389030414221661,0.9075827765179053,0.9713627343765822
17,68,0.946734712618403,0.917622063578027,0.976292515452642
18,84,0.9488472703526784,0.9206649576363529,0.9779518583237508
19,102,0.9530551602005105,0.9262667670506052,0.9816739300276699
20,125,0.958332798173454,0.9317546193809871,0.9847617130716234
21,153,0.9624954540881115,0.9387466812189577,0.9848658962396927
22,187,0.9652164577510131,0.9430789637082612,0.9881445586224755
23,229,0.9683190351799426,0.9472084695746111,0.9908298696716211
24,280,0.9708532188062412,0.9515559048161046,0.991057155926649
25,342,0.9726883207719902,0.952782260249417,0.9938898530686066
26,418,0.9751929266310425,0.9588987092093517,0.9946048520094314
27,511,0.9773849337171381,0.9611358061822436,0.9954884958574849
28,625,0.9783090767889058,0.9622986578818256,0.9964783757199372
29,765,0.9797251700054693,0.9646280813168241,0.995981867440237
30,935,0.9807050625370785,0.9666075010715174,0.995981867440237
31,1143,0.9807050625370785,0.9666075010715174,0.995981867440237
32,1398,0.9807050625370785,0.9666075010715174,0.995981867440237
33,1710,0.9807050625370785,0.9666075010715174,0.995981867440237
34,2091,0.9807050625370785,0.9666075010715174,0.995981867440237
35,2557,0.9807050625370785,0.9666075010715174,0.995981867440237
36,3127,0.9807050625370785,0.9666075010715174,0.995981867440237
37,3824,0.9807050625370785,0.9666075010715174,0.995981867440237
38,4676,0.981245808275037,0.9689443941109214,0.9937267593112814
39,5718,0.9830232789428602,0.9719666688079726,0.9938582784567069
40,6992,0.9857444965821225,0.9741705388053968,0.9972960831506308
41,8551,0.9876610059789862,0.9767450021699627,0.9989873298724596
42,10456,0.9900049089235902,0.9822489387171368,0.9977894547333829
43,12787,0.9914527098295668,0.983347577242594,0.9995101536689116
44,15637,0.9933830495163197,0.9893842698271258,0.9995101536689116
45,19121,0.9942052365655399,0.9896274105436661,1.0
46,23383,0.9949465541988207,0.9893243241136876,1.0
47,28594,0.996454216048995,0.9919191720181355,1.0
48,34967,0.9967916233004092,0.9946048520094313,1.0
49,42760,0.9970600285874333,0.9946048520094313,1.0
50,52290,0.9978176714427024,0.9954884958574849,1.0
51,63943,0.998198118742334,0.995981867440237,1.0
52,78194,0.9985690701009746,0.9964783757199375,1.0
53,95621,0.998883472358444,0.9971116907479375,1.0
54,1069314,0.998883472358444,0.9971116907479375,1.0
55,4372803,0.998883472358444,0.9971116907479375,1.0
56,5347357,0.998883472358444,0.9971116907479375,1.0
57,6539107,0.998883472358444,0.9971116907479375,1.0
58,9778606,0.998883472358444,0.9971116907479375,1.0
59,11957936,0.998883472358444,0.9971116907479375,1.0
60,14622966,0.998883472358444,0.9971116907479375,1.0
61,17881944,0.998883472358444,0.9971116907479375,1.0
62,21867241,0.9994339270274039,1.0,1.0
63,26740730,0.9994339270274039,1.0,1.0
64,32700359,0.9995113175695067,0.9995101536689117,1.0
65,39988194,0.9997164293138674,0.9995101536689117,1.0
66,48900247,0.999991660138818,1.0,1.0
67,59798504,0.9999975177908791,1.0,1.0
68,73125623,0.9999975177908791,1.0,1.0
69,89422919,1.0,1.0,1.0
70,109352346,1.0,1.0,1.0
71,133723387,1.0,1.0,1.0
72,163525931,1.0,1.0,1.0
73,199970483,1.0,1.0,1.0
74,244537325,1.0,1.0,1.0
75,299036651,1.0,1.0,1.0
76,365682085,1.0,1.0,1.0
77,447180593,1.0,1.0,1.0
78,546842437,1.0,1.0,1.0
79,668715629,1.0,1.0,1.0
80,817750346,1.0,1.0,1.0
81,999999999,1.0,1.0,1.0
