,index,resource,response,response_lower,response_upper,count
0,0,1,0.02553765178871909,0.0,0.07360733431580607,7
1,1,2,0.02553765178871909,0.0,0.07360733431580607,7
2,2,3,0.02553765178871909,0.0,0.07360733431580607,7
3,3,4,0.02553765178871909,0.0,0.07360733431580607,7
4,4,5,0.02553765178871909,0.0,0.07360733431580607,7
5,5,6,0.02553765178871909,0.0,0.07360733431580607,7
6,6,7,0.02553765178871909,0.0,0.07360733431580607,7
7,7,8,0.02553765178871909,0.0,0.07360733431580607,7
8,8,9,0.02553765178871909,0.0,0.07360733431580607,7
9,9,10,0.02553765178871909,0.0,0.07360733431580607,7
10,10,12,0.02553765178871909,0.0,0.07360733431580607,7
11,11,13,0.02553765178871909,0.0,0.07360733431580607,7
12,12,15,0.02553765178871909,0.0,0.07360733431580607,7
13,13,17,0.02553765178871909,0.0,0.07360733431580607,7
14,14,20,0.02553765178871909,0.0,0.07360733431580607,7
15,15,22,0.02553765178871909,0.0,0.07360733431580607,7
16,16,25,0.02553765178871909,0.0,0.07360733431580607,7
17,17,29,0.02553765178871909,0.0,0.07360733431580607,7
18,18,33,0.02553765178871909,0.0,0.07360733431580607,7
19,19,37,0.02553765178871909,0.0,0.07360733431580607,7
20,20,42,0.02553765178871909,0.0,0.07360733431580607,7
21,21,48,0.02553765178871909,0.0,0.07360733431580607,7
22,22,54,0.02553765178871909,0.0,0.07360733431580607,7
23,23,62,0.02553765178871909,0.0,0.07360733431580607,7
24,24,70,0.02553765178871909,0.0,0.07360733431580607,7
25,25,79,0.02553765178871909,0.0,0.07360733431580607,7
26,26,90,0.02553765178871909,0.0,0.07360733431580607,7
27,27,103,0.02553765178871909,0.0,0.07360733431580607,7
28,28,117,0.02553765178871909,0.0,0.07360733431580607,7
29,29,132,0.02553765178871909,0.0,0.07360733431580607,7
30,30,150,0.02553765178871909,0.0,0.07360733431580607,7
31,31,171,0.02553765178871909,0.0,0.07360733431580607,7
32,32,194,0.02553765178871909,0.0,0.07360733431580607,7
33,33,221,0.02553765178871909,0.0,0.07360733431580607,7
34,34,251,0.02553765178871909,0.0,0.07360733431580607,7
35,35,285,0.02553765178871909,0.0,0.07360733431580607,7
36,36,323,0.02553765178871909,0.0,0.07360733431580607,7
37,37,367,0.02553765178871909,0.0,0.07360733431580607,7
38,38,417,0.02553765178871909,0.0,0.07360733431580607,7
39,39,474,0.02553765178871909,0.0,0.07360733431580607,7
40,40,539,0.02553765178871909,0.0,0.07360733431580607,7
41,41,612,0.02553765178871909,0.0,0.07360733431580607,7
42,42,695,0.02553765178871909,0.0,0.07360733431580607,7
43,43,790,0.02553765178871909,0.0,0.07360733431580607,7
44,44,897,0.02553765178871909,0.0,0.07360733431580607,7
45,45,1019,0.02553765178871909,0.0,0.07360733431580607,7
46,46,1158,0.02553765178871909,0.0,0.07360733431580607,7
47,47,1316,0.02553765178871909,0.0,0.07360733431580607,7
48,48,1495,0.02553765178871909,0.0,0.07360733431580607,7
49,49,1698,0.02553765178871909,0.0,0.07360733431580607,7
50,50,1929,0.02553765178871909,0.0,0.07360733431580607,7
51,51,2192,0.02553765178871909,0.0,0.07360733431580607,7
52,52,2490,0.02553765178871909,0.0,0.07360733431580607,7
53,53,2828,0.02553765178871909,0.0,0.07360733431580607,7
54,54,3213,0.02553765178871909,0.0,0.07360733431580607,7
55,55,3650,0.02553765178871909,0.0,0.07360733431580607,7
56,56,4147,0.02553765178871909,0.0,0.07360733431580607,7
57,57,4711,0.02553765178871909,0.0,0.07360733431580607,7
58,58,5352,0.02553765178871909,0.0,0.07360733431580607,7
59,59,6081,0.02553765178871909,0.0,0.07360733431580607,7
60,60,6908,0.02553765178871909,0.0,0.07360733431580607,7
61,61,7848,0.02553765178871909,0.0,0.07360733431580607,7
62,62,8916,0.02553765178871909,0.0,0.07360733431580607,7
63,63,10129,0.02553765178871909,0.0,0.07360733431580607,7
64,64,11507,0.02553765178871909,0.0,0.07360733431580607,7
65,65,13073,0.02553765178871909,0.0,0.07360733431580607,7
66,66,14851,0.02553765178871909,0.0,0.07360733431580607,7
67,67,16872,0.02553765178871909,0.0,0.07360733431580607,7
68,68,19167,0.02553765178871909,0.0,0.07360733431580607,7
69,69,21775,0.02553765178871909,0.0,0.07360733431580607,7
70,70,24738,0.02553765178871909,0.0,0.07360733431580607,7
71,71,28104,0.02553765178871909,0.0,0.07360733431580607,7
72,72,31928,0.02553765178871909,0.0,0.07360733431580607,7
73,73,36272,0.02553765178871909,0.0,0.07360733431580607,7
74,74,41207,0.02553765178871909,0.0,0.07360733431580607,7
75,75,46813,0.02553765178871909,0.0,0.07360733431580607,7
76,76,53183,0.02553765178871909,0.0,0.07360733431580607,7
77,77,60419,0.02553765178871909,0.0,0.07360733431580607,7
78,78,68640,0.02553765178871909,0.0,0.07360733431580607,7
79,79,77979,0.02553765178871909,0.0,0.07360733431580607,7
80,80,88588,0.02553765178871909,0.0,0.07360733431580607,7
81,81,100642,0.02553765178871909,0.0,0.07360733431580607,7
82,82,114335,0.02553765178871909,0.0,0.07360733431580607,7
83,83,129891,0.02553765178871909,0.0,0.07360733431580607,7
84,84,147564,0.02553765178871909,0.0,0.07360733431580607,7
85,85,167642,0.02553765178871909,0.0,0.07360733431580607,7
86,86,190451,0.02553765178871909,0.0,0.07360733431580607,7
